What is <code>=</code> operator called in Elixir?	"It's <em>match</em> operator, it's used in pattern matching."	
"Where can you find Mix's API reference?"	<code>hexdocs.pm/mix</code>	
Explain the purpose and usage of <code>Config</code> module.	"<code>Config</code> provides a simple keyword-based configuration API. This module is most commonly used to define application configuration, typically in <code>config/config.exs</code>:<br><pre>import Config<br><br>config :some_app,<br>  key1: ""value1"",<br>  key2: ""value2""<br><br>import_config ""#{config_env()}.exs""</pre><code>import Config</code> will import the functions <code>config/2</code>, <code>config/3</code>, <code>config_env/0</code>, <code>config_target/0</code>, and <code>import_config/1</code> to help you manage your configuration.<br><br><code>config/2</code> and <code>config/3</code> are used to define key-value configuration for a given application. Once Mix starts, it will automatically evaluate the configuration file and persist the configuration above into <code>:some_app</code>'s application environment, which can be accessed in as follows:<br><pre>""value1"" = Application.fetch_env!(:some_app, :key1)</pre>Finally, the line <code>import_config ""#{config_env()}.exs""</code> will import other config files based on the current configuration environment, such as <code>config/dev.exs</code> and <code>config/test.exs</code>."	
What is Ecto?	"Ecto is the database wrapper and query generator for Elixir. Ecto provides a standardized API and a set of abstractions for talking to all the different kinds of databases, so that Elixir developers can query whatever database they're using by employing similar constructs."	
What is the purpose and output of <code>mix ecto.gen.repo -r Friends.Repo</code>?	"This command will generate the configuration required to connect to a database. The first bit of configuration is in <code>config/config.exs</code>:<pre>config :friends, Friends.Repo,<br>  database: ""friends"",<br>  username: ""user"",<br>  password: ""pass"",<br>  hostname: ""localhost""</pre>This configures how Ecto will connect to our database, called ""friends"". Specifically, it configures a ""repo"". The <code>Friends.Repo</code>&nbsp;module is defined in&nbsp;<code>lib/friends/repo.ex</code>&nbsp;by our&nbsp;<code>mix ecto.gen.repo</code> command:<pre>defmodule Friends.Repo do<br>  use Ecto.Repo,<br>    otp_app: :friends,<br>    adapter: Ecto.Adapters.Postgres<br>end</pre><br><br><br>"	
"List and explain all (9) Ecto's mix tasks."	<ul>   <li><code>mix ecto.create</code> - Creates the repository storage</li>   <li><code>mix ecto.drop</code> - Drops the repository storage</li>   <li><code>mix ecto.dump</code> - Dumps the repository database structure</li>   <li><code>mix ecto.gen.migration</code> - Generates a new migration for the repo</li>   <li><code>mix ecto.gen.repo</code> - Generates a new repository</li>   <li><code>mix ecto.load</code> - Loads previously dumped database structure</li>   <li><code>mix ecto.migrate</code> - Runs the repository migrations</li>   <li><code>mix ecto.migrations</code> - Displays the repository migration status</li>   <li><code>mix ecto.rollback</code> - Rolls back the repository migrations </li> </ul>	
What is the relationship between supervisors and process pegistry? Why?	Using supervisor, requires rich process discovery, typically via process registry. If a process is started from a supervisor, you don’t have access to its PID.. This is a property of supervisors. You can’t keep a worker’s PID for a long time because that process might be restarted, and its successor will have a different PID. Therefore, you need a way to give symbolic names to supervised processes and access each process via this name. When a process is restarted, the successor will register itself under the same name, which will allow you to reach the right process even after multiple restarts. This is typically achieved via <code>Registry</code> module.	
What is the purpose of <code>Supervisor.child_spec/2</code>?	"It's used to convert a tuple or a module child specification to a map or modify a child specification. For example, to run the example <code>Stack</code> module with a different <code>:id</code> and a <code>:shutdown</code> value of 10 seconds (10_000 milliseconds):<pre>children = [<br>  Supervisor.child_spec({Stack, [:hello]}, id: MyStack, shutdown: 10_000)<br>]</pre>This code will retrieve child spec from <code>Stack</code> module and modify it by adding/changing <code>:id</code> and <code>:shutdown</code> values."	
What must initializer function for a supervised process (<code>start_link/1</code> by default) return?	The <code>start_link/1</code> function must return <code>{:ok, pid}</code> where pid is the process identifier of a new process that is linked to the supervisor.	
What is a preferred library for implementing cron-like scheduling in Elixir?	Quantum library.	
When ETS can be useful?	Typical situations where ETS tables can be useful are shared key/value structures and counters. Although these scenarios can also be implemented with GenServer, such solutions might lead to performance and scalability issues.	
How to compile a Mix project, run it and execute and expression in one command?	"<pre>mix run -e 'expression'</pre>"	
"What is most common purpose of Elixir's tasks?"	Tasks are processes meant to execute one particular action throughout their lifetime, often with little or no communication with other processes. The most common use case for tasks is to convert sequential code into concurrent code by computing a value asynchronously:<br><pre>task = Task.async(fn -> do_some_work() end)<br>res = do_some_other_work()<br>res + Task.await(task)</pre><br>Tasks spawned with async can be awaited on by their caller process (and only their caller) as shown in the example above. They are implemented by spawning a process that sends a message to the caller once the given computation is performed.<br><br>Besides <code>async/1</code> and <code>await/2</code>, tasks can also be started as part of a supervision tree and dynamically spawned on remote nodes. We will explore these scenarios next.	
Name two caveats to using <code>Task.async/1</code>.	There are two important things to consider when using async:<br><br><ul><li>If you are using async tasks, you must await a reply as they are always sent. If you are not expecting a reply, consider using <code>Task.start_link/1</code> as detailed below.</li><br><li>async tasks link the caller and the spawned process. This means that, if the caller crashes, the task will crash too and vice-versa. This is on purpose: if the process meant to receive the result no longer exists, there is no purpose in completing the computation.</li></ul><br><br>If this is not desired, you will want to use supervised tasks.	
What is <code>System</code> module?	The <code>System</code> module provides functions that interact directly with the VM or the host system. It also provides functions that work with time, returning different times kept by the system with support for different time units.	
List and explain three methapors* for reading Erlang code.<br><br><em>*ferd.ca/on-erlang-s-syntax.html</em>	"Template view, English sentence and And, Or, Done.  <h4>Template view</h4>  In this view, Erlang code can be seen as a generic template you fill:  <pre>head1(Args) [Guard] -&gt;     Expression1, Expression2, ..., ExpressionN; head2(Args) [Guard] -&gt;     Expression1, Expression2, ..., ExpressionN; headN(Args) [Guard] -&gt;     Expression1, Expression2, ..., ExpressionN. </pre>  <h4>English sentence</h4>  This one is about comparing Erlang code to English. Imagine you're writing a list of things. Well, no. Don't imagine it, read it.  <pre>I will need a few items on my trip:   if it's sunny, sunscreen, water, a hat;   if it's rainy, an umbrella, a raincoat;   if it's windy, a kite, a shirt. </pre>  An Erlang translation can remain a bit similar:  <pre>trip_items(sunny) -&gt;     sunscreen, water, hat; trip_items(rainy) -&gt;     umbrella, raincoat; trip_items(windy) -&gt;     kite, shirt. </pre>  <h4>And, Or, Done</h4>  Another variant of this one has been suggested to me on #erlang. The user simply reads , as 'and', ; as 'or' and . as being done. A function declaration can then be read as a series of nested logical statements and affirmations.  "	
